ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Meta: produkt_maengde","Meta: _produkt_maengde","Meta: produkt_beskrivelse","Meta: _produkt_beskrivelse","Meta: oprindelsesland","Meta: _oprindelsesland","Meta: naeringsindhold","Meta: _naeringsindhold","Meta: ingredienser","Meta: _ingredienser"
254,simple,,,Ribssaft,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,70,"Drikkevarer > Saft",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Ribssaft.jpg,,,,,,,,,0,Søbogaard,"73 cl",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
255,simple,,,Sjælevarmer,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,79,"Drikkevarer > Specialdrikke",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Sjaelevarmer.jpg,,,,,,,,,0,Søbogaard,"73 cl",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
257,simple,,,"Solbærsaft sur",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,69,"Drikkevarer > Saft",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Solbaersaft-sur.jpg,,,,,,,,,0,Søbogaard,"73 cl",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
258,simple,,,Solbærsaft,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,69,"Drikkevarer > Saft",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Solbaersaft.jpg,,,,,,,,,0,Søbogaard,"73 cl",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
261,simple,,,"Tranebærsaft sød",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,71,"Drikkevarer > Saft",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Tranebaersaft-sod.jpg,,,,,,,,,0,Søbogaard,"73 cl",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
262,simple,,,Æblemost,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,38,"Drikkevarer > Most",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/AEblemost.jpg,,,,,,,,,0,"Egen avl","75 cl",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
283,simple,,,"And fra Sejerø",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,685,"Kød & Fjerkræ > And",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/And-fra-Sejero-1.jpg,,,,,,,,,0,sejerø-græs,"3,7 kg",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
284,simple,,,"Bov uden ben",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,200,"Kød & Fjerkræ > Oksekød",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Bov-uden-ben-1.jpg,,,,,,,,,0,"Egen avl","1.6 kg",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
285,simple,,,Bryst,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,200,"Kød & Fjerkræ > Oksekød",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Bryst-1.jpg,,,,,,,,,0,"Egen avl","1,3 kg",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
286,simple,,,Gullash,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,200,"Kød & Fjerkræ > Oksekød",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Gullash-1.jpg,,,,,,,,,0,"Egen avl","750 g",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
287,simple,,,"Hakket kød fra ungkvæg",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,135,"Kød & Fjerkræ > Oksekød",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Hakket-kod-fra-ungkvaeg-1.jpg,,,,,,,,,0,"Egen avl","1 kg",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
